id,proba,label
16395,0.7309342,1
37405,0.69810736,1
94180,0.71632725,1
54321,0.5491404,1
97015,0.39044106,0
73506,0.36802098,0
5429,0.31547624,0
70691,0.29446933,0
69421,0.2887455,0
50162,0.7289108,1
43728,0.7304625,1
75081,0.7310508,1
47829,0.7310541,1
35279,0.73102164,1
54920,0.55220616,1
39867,0.2815306,0
96082,0.73045707,1
38045,0.7269357,1
62134,0.6930386,1
81970,0.2743123,0
1865,0.69371694,1
86139,0.731014,1
38765,0.6662974,1
15306,0.7282762,1
17209,0.73105335,1
96185,0.33800125,0
93875,0.2824005,0
57286,0.32201654,0
8261,0.2725096,0
60823,0.27862784,0
83720,0.30689484,0
89432,0.73103863,1
89607,0.7305436,1
14267,0.7309748,1
82749,0.7310564,1
70643,0.73057103,1
12785,0.28780317,0
86394,0.4347858,0
63491,0.55423135,1
98026,0.46892497,0
89263,0.2782445,0
42975,0.69425267,1
74016,0.7310572,1
26347,0.72996575,1
89105,0.32563844,0
57932,0.4889659,0
52971,0.28174824,0
4615,0.7175917,1
1936,0.69483715,1
17546,0.38725582,0
56908,0.2704158,0
24973,0.27637622,0
4958,0.59178865,1
60345,0.70881885,1
2356,0.31255755,0
91806,0.6711635,1
5462,0.57503563,1
1627,0.72719127,1
18239,0.3232859,0
49372,0.27552027,0
59167,0.27493185,0
59287,0.5645642,1
64279,0.73096186,1
38701,0.28649095,0
12643,0.28328067,0
46532,0.3569582,0
7516,0.33390468,0
93251,0.7141829,1
31760,0.28493607,0
19230,0.5378045,1
89251,0.71718675,1
2789,0.6328296,1
3976,0.7304064,1
7291,0.2714156,0
58374,0.271255,0
78092,0.27691165,0
28396,0.5662594,1
87039,0.6542783,1
94216,0.27606857,0
81523,0.33684236,0
15473,0.2839346,0
48059,0.7297131,1
38054,0.32987303,0
35870,0.7307938,1
7392,0.72041684,1
72019,0.50658894,1
95723,0.3163392,0
1284,0.73011756,1
27980,0.7309696,1
65917,0.724561,1
10548,0.7071039,1
26091,0.66965,1
98637,0.58863354,1
98653,0.42489883,0
9638,0.41876554,0
16592,0.72674686,1
47693,0.28175887,0
51263,0.45875165,0
67149,0.7310458,1
63547,0.2973025,0
49267,0.28847054,0
24351,0.42929962,0
23419,0.73093235,1
30762,0.7065769,1
52096,0.7166085,1
64735,0.27109423,0
10652,0.44678757,0
92456,0.6931767,1
42635,0.27053824,0
47931,0.2700969,0
70143,0.30601317,0
51863,0.7271504,1
2584,0.72312206,1
48132,0.7129763,1
81370,0.64751536,1
74029,0.2778745,0
50643,0.27080718,0
59423,0.7280845,1
63502,0.71644425,1
89360,0.31625214,0
5219,0.32988578,0
61342,0.27058685,0
16234,0.27364913,0
34215,0.2729579,0
10963,0.2711599,0
94380,0.72642416,1
30954,0.46221128,0
5162,0.7310577,1
36184,0.27160615,0
17285,0.7310501,1
20815,0.27371067,0
35198,0.6007781,1
32451,0.29092205,0
58079,0.2956093,0
37092,0.7310549,1
76542,0.4771015,0
17096,0.27288377,0
69753,0.2706395,0
7652,0.29261893,0
