id,proba,label
15740,0.51859933,1
38794,0.72857803,1
60792,0.27216068,0
71824,0.31794545,0
4796,0.3100427,0
75310,0.73105276,1
63425,0.30739805,0
72360,0.7310154,1
17203,0.73082215,1
76803,0.70732903,1
96013,0.2816154,0
78093,0.72679156,1
8179,0.73048043,1
60425,0.7142387,1
68439,0.64410317,1
93602,0.71915096,1
30941,0.35152704,0
13782,0.31402892,0
38902,0.27503204,0
42698,0.2898491,0
71840,0.31277522,0
24890,0.7309972,1
74863,0.4525732,0
9257,0.31919748,0
50921,0.2741021,0
3218,0.27089745,0
20396,0.27155578,0
74895,0.4739142,0
32489,0.5607876,1
2937,0.34313655,0
51379,0.46880212,0
54701,0.73104584,1
32198,0.718673,1
86423,0.4388768,0
52809,0.7131478,1
60158,0.2789954,0
60589,0.73103493,1
43186,0.67196405,1
50498,0.27407214,0
21658,0.63382345,1
96371,0.5266895,1
49873,0.7309741,1
6738,0.3231048,0
19870,0.29280555,0
59604,0.73093873,1
49306,0.27680358,0
8679,0.27038193,0
10536,0.7051588,1
34571,0.287742,0
40596,0.2849171,0
8245,0.3584656,0
4567,0.4610041,0
60837,0.27976856,0
4851,0.6770161,1
59482,0.2702661,0
74308,0.7256048,1
12945,0.46329412,0
86302,0.7252333,1
70341,0.27080444,0
42609,0.30028537,0
73964,0.29309964,0
59120,0.6993775,1
24560,0.71509814,1
67209,0.32127044,0
64019,0.31616318,0
8612,0.272559,0
43925,0.2705957,0
49713,0.34445107,0
28069,0.36627555,0
78259,0.30103776,0
60278,0.27009708,0
62038,0.27106005,0
60534,0.72595763,1
79160,0.6187808,1
17094,0.29200897,0
32698,0.63766456,1
38601,0.2720139,0
49580,0.7310093,1
52804,0.5968434,1
32904,0.31384492,0
12804,0.7308737,1
38125,0.31441966,0
28164,0.27449661,0
93756,0.41499063,0
27103,0.27012905,0
31482,0.27422866,0
68759,0.7304609,1
69743,0.27160454,0
36047,0.71780056,1
52179,0.72764266,1
18953,0.42060506,0
8673,0.5676254,1
36927,0.7215141,1
72398,0.7310486,1
86259,0.27225277,0
3742,0.7309734,1
23765,0.729762,1
35079,0.7215141,1
70394,0.2820479,0
30519,0.7309965,1
69514,0.7310242,1
41082,0.6498205,1
51389,0.68415636,1
58317,0.6767499,1
38569,0.27203187,0
34568,0.73103195,1
79132,0.7294891,1
76019,0.73098254,1
67015,0.73065794,1
34218,0.73044914,1
48016,0.28046653,0
29348,0.6163601,1
89701,0.7182992,1
25896,0.34770575,0
68457,0.730582,1
3485,0.29109105,0
36752,0.73096055,1
51670,0.7306756,1
45367,0.32991806,0
30894,0.72090733,1
53021,0.7302913,1
54738,0.73064613,1
41627,0.7307948,1
21654,0.7309041,1
32149,0.73090136,1
57846,0.39463723,0
68510,0.41799456,0
29035,0.72663987,1
76598,0.27117008,0
78263,0.73104256,1
56243,0.47885364,0
63582,0.3941138,0
60182,0.6947704,1
67518,0.30423766,0
34762,0.3717606,0
58412,0.33236542,0
36104,0.5657966,1
61759,0.27603126,0
47026,0.379183,0
79142,0.7310442,1
51368,0.7273915,1
15392,0.7262878,1
86930,0.6916904,1
28364,0.50719583,1
96451,0.731014,1
